Timestamp,SoilMoisture,SoilTemp,AirTemp,AirPressure,AirHumidity,RSSI
2024/10/05 16:19,-3.59,24.75,25.73,932,34.9,-62
2024/10/05 16:19,-3.59,24.75,25.74,932,35.1,-63
2024/10/05 16:19,-3.64,24.69,25.73,932,35.2,-63
2024/10/05 16:20,-3.64,24.69,25.72,932,35.4,-63
2024/10/05 16:20,-3.59,24.69,25.73,932,35,-64
2024/10/05 16:21,-3.59,24.69,25.72,932,35,-63
2024/10/05 16:21,-3.64,24.75,25.73,932,34.9,-61
2024/10/05 16:21,-3.59,24.75,25.72,932,35,-62
2024/10/05 16:22,-3.64,24.75,25.72,932,34.9,-63
2024/10/05 16:22,-3.64,24.69,25.73,932,34.8,-64
2024/10/05 16:23,-3.64,24.69,25.72,932,35.3,-64
2024/10/05 16:23,-3.64,24.75,25.72,932,35.1,-64
2024/10/05 16:23,-3.64,24.75,25.72,932,35.1,-64
2024/10/05 16:24,-3.64,24.75,25.73,932,35.2,-63
2024/10/05 16:24,-3.54,24.75,25.73,932,35.4,-64
2024/10/05 16:24,-3.64,24.75,25.73,932,35.2,-63
2024/10/05 16:25,-3.64,24.81,25.73,932,35.3,-62
2024/10/05 16:25,-3.64,24.75,25.72,932,35.3,-63
2024/10/05 16:26,-3.59,24.75,25.71,932,35.6,-62
2024/10/05 16:26,-3.59,24.81,25.71,932,35.3,-64
2024/10/05 16:26,-3.54,24.81,25.7,932,35.2,-63
2024/10/05 16:27,-3.64,24.81,25.71,932,35.3,-63
2024/10/05 16:27,-3.64,24.75,25.71,932,35.3,-62
2024/10/05 16:28,-3.49,24.75,25.69,932,35.3,-63
2024/10/05 16:28,-3.59,24.75,25.69,932,35.3,-62
2024/10/05 16:28,-3.64,24.75,25.69,932,35.5,-63
2024/10/05 16:29,-3.64,24.75,25.7,932,35.4,-63
2024/10/05 16:29,-3.64,24.75,25.71,932,35.4,-62
2024/10/05 16:30,-3.64,24.75,25.7,932,35.6,-62
2024/10/05 16:30,-3.59,24.75,25.71,932,35.3,-61
2024/10/05 16:30,-3.59,24.75,25.7,932,34.8,-62
2024/10/05 16:31,-3.59,24.75,25.7,932,35.1,-63
2024/10/05 16:31,-3.64,24.75,25.7,932,35.1,-63
2024/10/05 16:31,-3.64,24.81,25.7,932,34.9,-62
2024/10/05 16:32,-3.64,24.69,25.7,932,34.8,-64
2024/10/05 16:33,-3.64,24.69,25.68,932,35.3,-63
2024/10/05 16:33,-3.44,24.75,25.68,932,35.6,-62
2024/10/05 16:33,-3.73,24.75,25.68,932,35.6,-64
2024/10/05 16:34,-3.54,24.75,25.7,932,35.6,-62
2024/10/05 16:34,-3.64,24.75,25.69,932,35.8,-63
2024/10/05 16:35,-3.69,24.75,25.7,932,35.4,-63
2024/10/05 16:35,-3.59,24.75,25.68,932,36.2,-62
2024/10/05 16:35,-3.64,24.75,25.68,932,35.8,-63
2024/10/05 16:36,-3.64,24.75,25.68,932,35.6,-63
2024/10/05 16:36,-3.59,24.75,25.68,932,35.6,-63
2024/10/05 16:36,-3.54,24.69,25.68,932,35.7,-62
2024/10/05 16:37,-3.59,24.75,25.69,932,35.3,-63
2024/10/05 16:37,-3.64,24.69,25.68,932,35.3,-63
2024/10/05 16:38,-3.59,24.75,25.68,932,35.7,-62
2024/10/05 16:38,-3.44,24.75,25.68,932,35.4,-62
2024/10/05 16:38,-3.69,24.75,25.68,932,35,-60
2024/10/05 16:39,-3.64,24.75,25.68,932,35.4,-61
2024/10/05 16:39,-3.73,24.75,25.67,932,35.6,-61
2024/10/05 16:40,-3.64,24.75,25.67,932,35.4,-61
2024/10/05 16:40,-3.54,24.69,25.67,932,35.6,-60
2024/10/05 16:40,-3.59,24.69,25.67,932,35.8,-61
2024/10/05 16:41,-3.64,24.69,25.67,932,35.7,-61
2024/10/05 16:41,-3.54,24.69,25.68,932,35.6,-61
2024/10/05 16:42,-3.64,24.75,25.68,932,35.4,-62
2024/10/05 16:42,-3.64,24.75,25.68,932,35.2,-62
2024/10/05 16:42,-3.64,24.69,25.68,932,35.3,-61
2024/10/05 16:43,-3.54,24.69,25.68,932,35.7,-60
2024/10/05 16:43,-3.64,24.75,25.68,932,35.3,-61
2024/10/05 16:43,-3.59,24.69,25.66,932,34.9,-59
2024/10/05 16:44,-3.64,24.75,25.67,932,34.8,-61
2024/10/05 16:44,-3.64,24.69,25.67,932,34.8,-60
2024/10/05 16:45,-3.64,24.75,25.66,932,34.8,-60
2024/10/05 16:45,-3.64,24.69,25.66,932,34.8,-60
2024/10/05 16:45,-3.54,24.69,25.65,932,34.9,-60
2024/10/05 16:46,-3.54,24.69,25.64,932,35.2,-60
2024/10/05 16:46,-3.64,24.69,25.65,932,34.8,-60
2024/10/05 16:47,-3.59,24.69,25.65,932,34.7,-61
